Disease Class,Disease/Phenotype,Population Type,Type Of Association,No. of Records,Latest Year of Occurence
METABOLIC,"diabetes, type 2",Japanese,Y,30,2005
METABOLIC,"diabetes, type 2",Chinese,Y,25,2004
NEUROLOGICAL,Alzheimer's Disease,Chinese,Y,22,2005
IMMUNE,"diabetes, type 1",Japanese,Y,19,2004
CARDIOVASCULAR,hypertension,Chinese,Y,19,2004
METABOLIC,"diabetes, type 2",caucasian,Y,18,2007
CANCER,lung cancer,Chinese,Y,18,2005
CANCER,prostate cancer,Japanese,Y,18,2005
PSYCH,schizophrenia,Japanese,Y,17,2005
PSYCH,schizophrenia,chinese,Y,16,2005
CARDIOVASCULAR,hypertension,Japanese,Y,16,2005
IMMUNE,periodontitis,Japanese,Y,15,2004
IMMUNE,asthma,Chinese,Y,14,2005
IMMUNE,rheumatoid arthritis,Japanese,Y,13,2005
IMMUNE,asthma,Japanese,Y,13,2005
CARDIOVASCULAR,"atherosclerosis, coronary",Chinese,Y,12,2005
CANCER,colorectal cancer,Japanese,Y,11,2005
METABOLIC,bone density,Japanese,Y,11,2005
CANCER,breast cancer,Chinese,Y,11,2005
IMMUNE,systemic lupus erythematosus,Japanese,Y,10,2002
CANCER,head and neck cancer lung cancer,Caucasian,Y,10,2007
METABOLIC,obesity,Japanese,Y,9,2005
NEUROLOGICAL,Alzheimer's Disease,Italian,Y,9,2007
NEUROLOGICAL,Parkinson's disease,Chinese,Y,9,2004
CANCER,breast cancer,Caucasian,Y,9,2007
NEUROLOGICAL,Alzheimer's Disease,Japanese,Y,9,2005
CANCER,stomach cancer,Chinese,Y,8,2005
CANCER,lung cancer,Japanese,Y,8,2005
IMMUNE,chronic obstructive pulmonary disease/COPD,Chinese,Y,8,2005
IMMUNE,periodontitis,German,Y,8,2002
CARDIOVASCULAR,cardiovascular disease,French;Israeli,Y,8,2006
CARDIOVASCULAR,hypertension,Caucasian,Y,8,2005
IMMUNE,"diabetes, type 1",Caucasian,Y,7,2006
CANCER,Lung cancer,caucasian,Y,7,2007
IMMUNE,atopy,German,Y,7,2004
IMMUNE,asthma,Korean,Y,7,2006
IMMUNE,rheumatoid arthritis,Chinese,Y,7,2005
CARDIOVASCULAR,myocardial infarction,Japanese,Y,7,2004
IMMUNE,Graves' disease,Japanese,Y,6,2005
IMMUNE,"diabetes, type 1",Chinese,Y,6,2001
VISION,"glaucoma, primary open-angle",Indian,Y,6,2007
IMMUNE,vitiligo,Saudi,Y,6,2006
IMMUNE,periodontitis,Chinese,Y,6,2005
PSYCH,schizophrenia,Korean,Y,6,2006
CARDIOVASCULAR,Coronary Artery Disease,Japanese,Y,6,2002
METABOLIC,bone density,Korean,Y,6,2007
CANCER,bladder cancer,Caucasian,Y,6,2007
CARDIOVASCULAR,"atherosclerosis, coronary",Turkish,Y,6,2006
REPRODUCTION,endometriosis,Japanese,Y,6,2005
CARDIOVASCULAR,coronary heart disease,Chinese,Y,5,2002
IMMUNE,rheumatoid arthritis,Korean,Y,5,2005
IMMUNE,systemic lupus erythematosus,Caucasian,Y,5,2003
RENAL,nephropathy,Japanese,Y,5,2003
METABOLIC,osteoporosis,Chinese,Y,5,2003
METABOLIC,obesity,caucasian,Y,5,2007
IMMUNE,psoriasis,Chinese,Y,5,2004
IMMUNE,Total IgE,German,Y,5,2002
IMMUNE,"diabetes, type 1",Czech,Y,5,2004
IMMUNE,lupus erythematosus,Chinese,Y,5,2004
